state,month,year,number,date
Alagoas,Março,2008,1,1/1/2008
Alagoas,Março,2009,1,1/1/2009
Alagoas,Março,2010,1,1/1/2010
Alagoas,Março,2011,1,1/1/2011
Alagoas,Março,2012,1,1/1/2012
Alagoas,Março,2013,1,1/1/2013
Alagoas,Março,2014,1,1/1/2014
Alagoas,Março,2015,1,1/1/2015
Alagoas,Março,2016,1,1/1/2016
Alagoas,Março,2017,1,1/1/2017
Alagoas,Abril,1999,1,1/1/1999
Alagoas,Abril,2000,1,1/1/2000
Alagoas,Abril,2002,1,1/1/2002
Alagoas,Abril,2003,1,1/1/2003
Alagoas,Abril,2004,1,1/1/2004
Alagoas,Abril,2005,1,1/1/2005
Alagoas,Abril,2006,1,1/1/2006
Alagoas,Abril,2007,1,1/1/2007
Alagoas,Abril,2008,1,1/1/2008
Alagoas,Abril,2009,1.001,1/1/2009
Alagoas,Abril,2010,1.001,1/1/2010
Alagoas,Abril,2011,1.002,1/1/2011
Alagoas,Abril,2012,1.002,1/1/2012
Alagoas,Abril,2013,1.004,1/1/2013
Alagoas,Abril,2014,1.008,1/1/2014
Alagoas,Abril,2015,1.01,1/1/2015
Alagoas,Abril,2016,1.012,1/1/2016
Alagoas,Abril,2017,1.013,1/1/2017
Alagoas,Maio,1999,1.014,1/1/1999
Alagoas,Maio,2000,1.015,1/1/2000
Alagoas,Maio,2001,1.018,1/1/2001
Alagoas,Maio,2002,1.018,1/1/2002
Alagoas,Maio,2003,1.019,1/1/2003
Alagoas,Maio,2004,1.02,1/1/2004
Alagoas,Maio,2012,1.021,1/1/2012
Alagoas,Maio,2013,1.024,1/1/2013
Alagoas,Maio,2014,1.025,1/1/2014
Alagoas,Maio,2015,1.029,1/1/2015
Alagoas,Maio,2016,1.031,1/1/2016
Alagoas,Maio,2017,1.032,1/1/2017
Alagoas,Junho,2001,1.034,1/1/2001
Alagoas,Junho,2011,1.039,1/1/2011
Alagoas,Junho,2012,1.05,1/1/2012
Alagoas,Junho,2013,1.05,1/1/2013
Alagoas,Junho,2014,1.052,1/1/2014
Alagoas,Junho,2015,1.053,1/1/2015
Alagoas,Junho,2016,1.054,1/1/2016
Alagoas,Junho,2017,1.057,1/1/2017
Alagoas,Julho,2002,1.059,1/1/2002
Alagoas,Julho,2010,1.061,1/1/2010
Alagoas,Julho,2014,1.063,1/1/2014
Alagoas,Julho,2016,1.064,1/1/2016
Alagoas,Agosto,1998,1.067,1/1/1998
Alagoas,Agosto,1999,1.071,1/1/1999
Alagoas,Agosto,2000,1.072,1/1/2000
Alagoas,Agosto,2001,1.074,1/1/2001
Alagoas,Agosto,2002,1.078,1/1/2002
Alagoas,Agosto,2003,1.079,1/1/2003
Alagoas,Agosto,2004,1.08,1/1/2004
Alagoas,Agosto,2005,1.081,1/1/2005
Alagoas,Agosto,2006,1.081,1/1/2006
Alagoas,Agosto,2007,1.081,1/1/2007
Alagoas,Agosto,2008,1.081,1/1/2008
Alagoas,Agosto,2010,1.082,1/1/2010
Alagoas,Agosto,2011,1.085,1/1/2011
Alagoas,Agosto,2014,1.093,1/1/2014
Alagoas,Agosto,2015,1.096,1/1/2015
Alagoas,Agosto,2016,1.099,1/1/2016
Alagoas,Agosto,2017,1.1,1/1/2017
Alagoas,Setembro,1998,1.101,1/1/1998
Alagoas,Setembro,1999,1.103,1/1/1999
Alagoas,Setembro,2000,1.103,1/1/2000
Alagoas,Setembro,2001,1.104,1/1/2001
Alagoas,Setembro,2002,1.108,1/1/2002
Alagoas,Setembro,2003,1.108,1/1/2003
Alagoas,Setembro,2004,1.11,1/1/2004
Alagoas,Setembro,2005,1.111,1/1/2005
Alagoas,Setembro,2006,1.111,1/1/2006
Alagoas,Setembro,2007,1.117,1/1/2007
Alagoas,Setembro,2008,1.124,1/1/2008
Alagoas,Setembro,2009,1.124,1/1/2009
Alagoas,Setembro,2010,1.126,1/1/2010
Alagoas,Setembro,2011,1.129,1/1/2011
Alagoas,Setembro,2012,1.131,1/1/2012
Alagoas,Setembro,2013,1.133,1/1/2013
Alagoas,Setembro,2014,1.137,1/1/2014
Alagoas,Setembro,2015,1.146,1/1/2015
Alagoas,Setembro,2016,1.148,1/1/2016
Alagoas,Setembro,2017,1.148,1/1/2017
Alagoas,Outubro,1998,1.15,1/1/1998
Alagoas,Outubro,1999,1.152,1/1/1999
Alagoas,Outubro,2000,1.157,1/1/2000
Alagoas,Outubro,2001,1.161,1/1/2001
Alagoas,Outubro,2002,1.161,1/1/2002
Alagoas,Outubro,2003,1.161,1/1/2003
Alagoas,Outubro,2004,1.168,1/1/2004
Alagoas,Outubro,2005,1.174,1/1/2005
Alagoas,Outubro,2006,1.176,1/1/2006
Alagoas,Outubro,2007,1.176,1/1/2007
Alagoas,Outubro,2008,1.177,1/1/2008
Alagoas,Outubro,2009,1.177,1/1/2009
Alagoas,Outubro,2010,1.183,1/1/2010
Alagoas,Outubro,2011,1.19,1/1/2011
Alagoas,Outubro,2012,1.193,1/1/2012
Alagoas,Outubro,2013,1.194,1/1/2013
Alagoas,Outubro,2014,1.194,1/1/2014
Alagoas,Outubro,2015,1.195,1/1/2015
Alagoas,Outubro,2016,1.198,1/1/2016
Alagoas,Outubro,2017,1.2,1/1/2017
Alagoas,Novembro,1998,1.202,1/1/1998
Alagoas,Novembro,1999,1.204,1/1/1999
Alagoas,Novembro,2000,1.205,1/1/2000
Alagoas,Novembro,2001,1.206,1/1/2001
Alagoas,Novembro,2002,1.207,1/1/2002
Alagoas,Novembro,2003,1.211,1/1/2003
Alagoas,Novembro,2004,1.213,1/1/2004
Alagoas,Novembro,2005,1.217,1/1/2005
Alagoas,Novembro,2006,1.217,1/1/2006
Alagoas,Novembro,2007,1.217,1/1/2007
Alagoas,Novembro,2008,1.221,1/1/2008
Alagoas,Novembro,2009,1.227,1/1/2009
Alagoas,Novembro,2010,1.228,1/1/2010
Alagoas,Novembro,2011,1.229,1/1/2011
Alagoas,Novembro,2012,1.231,1/1/2012
Alagoas,Novembro,2013,1.233,1/1/2013
Alagoas,Novembro,2014,1.237,1/1/2014
Alagoas,Novembro,2015,1.238,1/1/2015
Alagoas,Novembro,2016,1.243,1/1/2016
Alagoas,Novembro,2017,1.248,1/1/2017
Alagoas,Dezembro,1998,1.251,1/1/1998
Alagoas,Dezembro,1999,1.255,1/1/1999
Alagoas,Dezembro,2000,1.255,1/1/2000
Alagoas,Dezembro,2001,1.265,1/1/2001
Alagoas,Dezembro,2002,1.269,1/1/2002
Alagoas,Dezembro,2003,1.271,1/1/2003
Alagoas,Dezembro,2004,1.275,1/1/2004
Alagoas,Dezembro,2005,1.275,1/1/2005
Alagoas,Dezembro,2006,1.276,1/1/2006
Alagoas,Dezembro,2007,1.277,1/1/2007
Alagoas,Dezembro,2008,1.28,1/1/2008
Alagoas,Dezembro,2009,1.284,1/1/2009
Alagoas,Dezembro,2010,1.293,1/1/2010
Alagoas,Dezembro,2011,1.293,1/1/2011
Alagoas,Dezembro,2012,1.295,1/1/2012
Alagoas,Dezembro,2013,1.296,1/1/2013
Alagoas,Dezembro,2014,1.296,1/1/2014
Alagoas,Dezembro,2015,1.297,1/1/2015
Alagoas,Dezembro,2016,1.3,1/1/2016
Amapa,Janeiro,2000,1.305,1/1/2000
Amapa,Janeiro,2002,1.307,1/1/2002
Amapa,Janeiro,2003,1.307,1/1/2003
Amapa,Janeiro,2004,1.31,1/1/2004
Amapa,Janeiro,2005,1.31,1/1/2005
Amapa,Janeiro,2006,1.313,1/1/2006
Amapa,Janeiro,2008,1.32,1/1/2008
Amapa,Janeiro,2009,1.321,1/1/2009
Amapa,Janeiro,2010,1.322,1/1/2010
Amapa,Janeiro,2012,1.328,1/1/2012
Amapa,Janeiro,2013,1.336,1/1/2013
Amapa,Janeiro,2014,1.338,1/1/2014
Amapa,Janeiro,2015,1.339,1/1/2015
Amapa,Janeiro,2016,1.339,1/1/2016
Amapa,Janeiro,2017,1.339,1/1/2017
Amapa,Fevereiro,1999,1.339,1/1/1999
Amapa,Fevereiro,2002,1.341,1/1/2002
Amapa,Fevereiro,2004,1.36,1/1/2004
Amapa,Fevereiro,2005,1.36,1/1/2005
Amapa,Fevereiro,2006,1.36,1/1/2006
Amapa,Fevereiro,2011,1.363,1/1/2011
Amapa,Fevereiro,2012,1.365,1/1/2012
Amapa,Fevereiro,2014,1.366,1/1/2014
Amapa,Fevereiro,2015,1.367,1/1/2015
Amapa,Fevereiro,2016,1.368,1/1/2016
Amapa,Março,1999,1.371,1/1/1999
Amapa,Março,2003,1.372,1/1/2003
Amapa,Março,2008,1.378,1/1/2008
Amapa,Março,2009,1.378,1/1/2009
Amapa,Março,2010,1.382,1/1/2010
Amapa,Março,2012,1.383,1/1/2012
Amapa,Março,2014,1.389,1/1/2014
Amapa,Março,2015,1.393,1/1/2015
Amapa,Março,2016,1.394,1/1/2016
Amapa,Abril,2003,1.397,1/1/2003
Amapa,Abril,2008,1.399,1/1/2008
Amapa,Abril,2010,1.401,1/1/2010
Amapa,Abril,2012,1.402,1/1/2012
Amapa,Abril,2013,1.404,1/1/2013
Amapa,Abril,2017,1.408,1/1/2017
Amapa,Maio,2002,1.408,1/1/2002
Amapa,Maio,2009,1.415,1/1/2009
Amapa,Maio,2010,1.417,1/1/2010
Amapa,Maio,2011,1.417,1/1/2011
Amapa,Maio,2012,1.417,1/1/2012
Amapa,Maio,2016,1.419,1/1/2016
Amapa,Maio,2017,1.422,1/1/2017
Amapa,Junho,1999,1.428,1/1/1999
Amapa,Junho,2004,1.43,1/1/2004
Amapa,Junho,2005,1.432,1/1/2005
Amapa,Junho,2009,1.433,1/1/2009
Amapa,Junho,2012,1.438,1/1/2012
Amapa,Junho,2013,1.441,1/1/2013
Amapa,Junho,2015,1.443,1/1/2015
Amapa,Junho,2016,1.443,1/1/2016
Amapa,Junho,2017,1.444,1/1/2017
Amapa,Julho,2001,1.453,1/1/2001
Amapa,Julho,2002,1.458,1/1/2002
Amapa,Julho,2004,1.461,1/1/2004
Amapa,Julho,2009,1.463,1/1/2009
Amapa,Julho,2010,1.47,1/1/2010
Amapa,Julho,2011,1.472,1/1/2011
Amapa,Julho,2012,1.481,1/1/2012
Amapa,Julho,2013,1.482,1/1/2013
Amapa,Julho,2014,1.482,1/1/2014
Amapa,Julho,2015,1.484,1/1/2015
Amapa,Julho,2016,1.484,1/1/2016
Amapa,Julho,2017,1.488,1/1/2017
Amapa,Agosto,1998,1.492,1/1/1998
Amapa,Agosto,2000,1.493,1/1/2000
Amapa,Agosto,2001,1.494,1/1/2001
Amapa,Agosto,2002,1.495,1/1/2002
Amapa,Agosto,2003,1.498,1/1/2003
Amapa,Agosto,2004,1.505,1/1/2004
Amapa,Agosto,2005,1.508,1/1/2005
Amapa,Agosto,2006,1.513,1/1/2006
Amapa,Agosto,2007,1.524,1/1/2007
Amapa,Agosto,2008,1.533,1/1/2008
Amapa,Agosto,2009,1.537,1/1/2009
Amapa,Agosto,2010,1.555,1/1/2010
Amapa,Agosto,2011,1.561,1/1/2011
Amapa,Agosto,2012,1.571,1/1/2012
Amapa,Agosto,2013,1.572,1/1/2013
Amapa,Agosto,2014,1.577,1/1/2014
Amapa,Agosto,2015,1.579,1/1/2015
Amapa,Agosto,2016,1.581,1/1/2016
Amapa,Agosto,2017,1.591,1/1/2017
Amapa,Setembro,1998,1.593,1/1/1998
Amapa,Setembro,1999,1.595,1/1/1999
Amapa,Setembro,2000,1.597,1/1/2000
Amapa,Setembro,2001,1.599,1/1/2001
Amapa,Setembro,2002,1.606,1/1/2002
Amapa,Setembro,2003,1.612,1/1/2003
Amapa,Setembro,2004,1.613,1/1/2004
Amapa,Setembro,2005,1.613,1/1/2005
Amapa,Setembro,2006,1.618,1/1/2006
Amapa,Setembro,2007,1.62,1/1/2007
Amapa,Setembro,2008,1.622,1/1/2008
Amapa,Setembro,2009,1.629,1/1/2009
Amapa,Setembro,2010,1.63,1/1/2010
Amapa,Setembro,2011,1.641,1/1/2011
Amapa,Setembro,2012,1.642,1/1/2012
Amapa,Setembro,2013,1.642,1/1/2013
Amapa,Setembro,2014,1.647,1/1/2014
Amapa,Setembro,2015,1.651,1/1/2015
Amapa,Setembro,2016,1.652,1/1/2016
Amapa,Setembro,2017,1.653,1/1/2017
Amapa,Outubro,1998,1.655,1/1/1998
Amapa,Outubro,1999,1.656,1/1/1999
Amapa,Outubro,2000,1.658,1/1/2000
Amapa,Outubro,2001,1.66,1/1/2001
Amapa,Outubro,2002,1.662,1/1/2002
Amapa,Outubro,2003,1.666,1/1/2003
Amapa,Outubro,2004,1.668,1/1/2004
Amapa,Outubro,2005,1.677,1/1/2005
Amapa,Outubro,2006,1.682,1/1/2006
Amapa,Outubro,2007,1.687,1/1/2007
Amapa,Outubro,2008,1.687,1/1/2008
Amapa,Outubro,2009,1.693,1/1/2009
Amapa,Outubro,2010,1.696,1/1/2010
Amapa,Outubro,2011,1.698,1/1/2011
Amapa,Outubro,2012,1.703,1/1/2012
Amapa,Outubro,2013,1.705,1/1/2013
Amapa,Outubro,2014,1.706,1/1/2014
Amapa,Outubro,2015,1.709,1/1/2015
Amapa,Outubro,2016,1.717,1/1/2016
Amapa,Outubro,2017,1.721,1/1/2017
Amapa,Novembro,1998,1.736,1/1/1998
Amapa,Novembro,1999,1.738,1/1/1999
Amapa,Novembro,2000,1.739,1/1/2000
Amapa,Novembro,2001,1.739,1/1/2001
Amapa,Novembro,2002,1.753,1/1/2002
Amapa,Novembro,2003,1.754,1/1/2003
Amapa,Novembro,2004,1.755,1/1/2004
Amapa,Novembro,2005,1.761,1/1/2005
Amapa,Novembro,2006,1.766,1/1/2006
Amapa,Novembro,2007,1.768,1/1/2007
Amapa,Novembro,2008,1.768,1/1/2008
Amapa,Novembro,2009,1.77,1/1/2009
Amapa,Novembro,2010,1.776,1/1/2010
Amapa,Novembro,2011,1.776,1/1/2011
Amapa,Novembro,2012,1.777,1/1/2012
Amapa,Novembro,2013,1.782,1/1/2013
Amapa,Novembro,2014,1.787,1/1/2014
Amapa,Novembro,2015,1.788,1/1/2015
Amapa,Novembro,2016,1.79,1/1/2016
Amapa,Novembro,2017,1.791,1/1/2017
Amapa,Dezembro,1998,1.795,1/1/1998
Amapa,Dezembro,1999,1.795,1/1/1999
Amapa,Dezembro,2000,1.798,1/1/2000
Amapa,Dezembro,2001,1.803,1/1/2001
Amapa,Dezembro,2002,1.807,1/1/2002
Amapa,Dezembro,2003,1.809,1/1/2003
Amapa,Dezembro,2004,1.81,1/1/2004
Amapa,Dezembro,2005,1.812,1/1/2005
Amapa,Dezembro,2006,1.819,1/1/2006
Amapa,Dezembro,2007,1.823,1/1/2007
Amapa,Dezembro,2008,1.827,1/1/2008
Amapa,Dezembro,2009,1.83,1/1/2009
Amapa,Dezembro,2010,1.835,1/1/2010
Amapa,Dezembro,2011,1.84,1/1/2011
Amapa,Dezembro,2012,1.844,1/1/2012
Amapa,Dezembro,2013,1.861,1/1/2013
Amapa,Dezembro,2014,1.861,1/1/2014
Amapa,Dezembro,2015,1.863,1/1/2015
Amapa,Dezembro,2016,1.867,1/1/2016
Amazonas,Janeiro,1999,1.869,1/1/1999
Amazonas,Janeiro,2000,1.87,1/1/2000
Amazonas,Janeiro,2001,1.884,1/1/2001
Amazonas,Janeiro,2002,1.889,1/1/2002
Amazonas,Janeiro,2003,1.896,1/1/2003
Amazonas,Janeiro,2004,1.898,1/1/2004
Amazonas,Janeiro,2005,1.927,1/1/2005
Amazonas,Janeiro,2006,1.93,1/1/2006
Amazonas,Janeiro,2007,1.941,1/1/2007
Amazonas,Janeiro,2008,1.947,1/1/2008
Amazonas,Janeiro,2009,1.949,1/1/2009
Amazonas,Janeiro,2010,1.949,1/1/2010
Amazonas,Janeiro,2011,1.952,1/1/2011
Amazonas,Janeiro,2012,1.954,1/1/2012
Amazonas,Janeiro,2013,1.955,1/1/2013
Amazonas,Janeiro,2014,1.958,1/1/2014
Amazonas,Janeiro,2015,1.969,1/1/2015
Amazonas,Janeiro,2016,1.969,1/1/2016
Amazonas,Janeiro,2017,1.975,1/1/2017
Amazonas,Fevereiro,1999,1.976,1/1/1999
Amazonas,Fevereiro,2000,1.976,1/1/2000
Amazonas,Fevereiro,2001,1.978,1/1/2001
Amazonas,Fevereiro,2002,1.981,1/1/2002
Amazonas,Fevereiro,2003,1.986,1/1/2003
Amazonas,Fevereiro,2004,1.987,1/1/2004
Amazonas,Fevereiro,2005,1.991,1/1/2005
Amazonas,Fevereiro,2006,1.996,1/1/2006
Amazonas,Fevereiro,2007,2,1/1/2007
Amazonas,Fevereiro,2008,2,1/1/2008
Amazonas,Fevereiro,2009,2,1/1/2009
Amazonas,Fevereiro,2010,2,1/1/2010
Amazonas,Fevereiro,2011,2,1/1/2011
Amazonas,Fevereiro,2012,2,1/1/2012
Amazonas,Fevereiro,2013,2,1/1/2013
Amazonas,Fevereiro,2014,2,1/1/2014
Amazonas,Fevereiro,2015,2,1/1/2015
Amazonas,Fevereiro,2016,2,1/1/2016
Amazonas,Fevereiro,2017,2,1/1/2017
Amazonas,Março,1999,2,1/1/1999
Amazonas,Março,2000,2,1/1/2000
Amazonas,Março,2001,2,1/1/2001
Amazonas,Março,2002,2,1/1/2002
Amazonas,Março,2003,2,1/1/2003
Amazonas,Março,2004,2,1/1/2004
Amazonas,Março,2005,2,1/1/2005
Amazonas,Março,2006,2,1/1/2006
Amazonas,Março,2007,2,1/1/2007
Amazonas,Março,2008,2,1/1/2008
Amazonas,Março,2009,2,1/1/2009
Amazonas,Março,2010,2,1/1/2010
Amazonas,Março,2011,2,1/1/2011
Amazonas,Março,2012,2,1/1/2012
Amazonas,Março,2013,2,1/1/2013
Amazonas,Março,2014,2,1/1/2014
Amazonas,Março,2015,2,1/1/2015
Amazonas,Março,2016,2,1/1/2016
Amazonas,Março,2017,2,1/1/2017
Amazonas,Abril,1999,2,1/1/1999
Amazonas,Abril,2000,2,1/1/2000
Amazonas,Abril,2001,2,1/1/2001
Amazonas,Abril,2002,2,1/1/2002
Amazonas,Abril,2003,2,1/1/2003
Amazonas,Abril,2004,2,1/1/2004
Amazonas,Abril,2005,2,1/1/2005
Amazonas,Abril,2006,2,1/1/2006
Amazonas,Abril,2008,2,1/1/2008
Amazonas,Abril,2009,2,1/1/2009
Amazonas,Abril,2010,2,1/1/2010
Amazonas,Abril,2011,2,1/1/2011
Amazonas,Abril,2012,2,1/1/2012
Amazonas,Abril,2013,2,1/1/2013
